;Papel;Cotação;EV/EBIT;ROIC;EVOrdenado;ROICOrdenado;Score;sector
116;TRIS3.SA;4.78;5.9;0.09939999999999999;52;116;168;Real Estate
117;AMAR3.SA;2.94;7.86;0.09820000000000001;85;117;202;Consumer Cyclical
118;PRNR3.SA;5.98;7.86;0.09759999999999999;84;118;202;Industrials
119;TEND3.SA;11.7;4.58;0.0962;36;119;155;Real Estate
124;TIMS3.SA;12.93;7.75;0.08900000000000001;82;124;206;Communication Services
125;PGMN3.SA;10.91;13.49;0.08800000000000001;128;125;253;Healthcare
126;VULC3.SA;8.9;15.23;0.08800000000000001;136;126;262;Consumer Cyclical
131;BRFS3.SA;15.43;10.71;0.0836;108;131;239;Consumer Defensive
133;STBP3.SA;6.14;15.79;0.0819;138;133;271;Industrials
134;MOSI3.SA;7.55;35.47;0.0812;180;134;314;Communication Services
135;CSED3.SA;4.7;6.4;0.08039999999999999;61;135;196;Consumer Defensive
136;EVEN3.SA;5.72;1.22;0.0786;3;136;139;Real Estate
137;MYPK3.SA;12.15;7.32;0.0774;75;137;212;Consumer Cyclical
138;CIEL3.SA;2.47;3.91;0.0764;24;138;162;Technology
139;NGRD3.SA;2.56;11.64;0.0746;118;139;257;Technology
140;MULT3.SA;21.06;20.58;0.07429999999999999;155;140;295;Real Estate
141;CYRE3.SA;14.41;8.97;0.0723;96;141;237;Consumer Cyclical
142;SEER3.SA;10.74;7.66;0.0698;78;142;220;Consumer Defensive
143;DIRR3.SA;11.5;6.52;0.0695;63;143;206;Real Estate
144;EZTC3.SA;17.03;10.41;0.0689;105;144;249;Real Estate
145;AMBP3.SA;32.77;21.46;0.0676;159;145;304;Industrials
146;LAME3.SA;6.62;11.32;0.0653;117;146;263;Consumer Cyclical
147;LAME4.SA;6.55;11.24;0.0653;115;147;262;Consumer Cyclical
148;JSLG3.SA;7.52;14.18;0.0626;132;148;280;Industrials
149;VLID3.SA;11.02;12.07;0.0601;121;149;270;Industrials
150;AGXY3.SA;11.82;15.93;0.06;141;150;291;Basic Materials
151;ORVR3.SA;28.8;45.87;0.0565;182;151;333;Industrials
152;VIVT3.SA;48.64;15.87;0.055999999999999994;140;152;292;Communication Services
153;YDUQ3.SA;19.54;21.36;0.055999999999999994;158;153;311;Consumer Defensive
154;AALR3.SA;17.25;21.07;0.053099999999999994;157;154;311;Healthcare
